mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label_1,label_2,label_3,label_4,label_5,label_6,label_7
-292.0288391113281,47.96995544433594,-133.237060546875,78.72721862792969,-53.54606628417969,66.61058807373047,-48.304805755615234,32.7481575012207,-35.11997604370117,22.9626407623291,-19.755657196044922,5.859213352203369,4.949867248535156,True,False,False,False,False,False,False
-287.14208984375,47.73080825805664,-130.9965362548828,80.71843719482422,-52.298946380615234,65.5650634765625,-48.0839958190918,31.03978157043457,-34.10243225097656,23.36569595336914,-20.381816864013672,7.797284126281738,2.787543535232544,True,False,False,False,False,False,False
-288.316650390625,49.01158142089844,-129.51296997070312,82.06510925292969,-53.972633361816406,67.39659881591797,-42.30489730834961,28.97216796875,-32.314842224121094,27.308870315551758,-24.264392852783203,8.669650077819824,2.654966115951538,True,False,False,False,False,False,False
-416.43316650390625,135.42300415039062,-68.88706970214844,43.73125457763672,-30.524648666381836,29.198915481567383,-7.577114582061768,19.648054122924805,-15.27309513092041,29.414125442504883,-5.754722595214844,2.9013800621032715,-17.907047271728516,True,False,False,False,False,False,False
-365.4161682128906,131.0621337890625,-69.66382598876953,53.13982391357422,-25.862096786499023,36.64357376098633,-1.965045690536499,29.31629753112793,-18.39796257019043,20.7578067779541,-3.6690564155578613,-1.111222267150879,-25.549264907836914,True,False,False,False,False,False,False
-363.9169616699219,141.93768310546875,-77.26602935791016,47.003509521484375,-22.971439361572266,22.64107894897461,-1.3606420755386353,24.293598175048828,-21.13610076904297,33.58567810058594,-7.353240013122559,11.816688537597656,-14.505717277526855,True,False,False,False,False,False,False
-419.1036376953125,43.8112907409668,-123.16136169433594,78.2312240600586,-64.4915771484375,64.22370910644531,-38.28825378417969,35.63951110839844,-27.271154403686523,27.93643569946289,-11.407634735107422,-2.868858814239502,1.0159175395965576,True,False,False,False,False,False,False
-434.9201354980469,43.0443229675293,-121.99482727050781,74.13699340820312,-59.167022705078125,64.69264221191406,-41.231895446777344,35.96455383300781,-24.454050064086914,33.11021423339844,-15.368148803710938,-0.4422876536846161,-3.414956569671631,True,False,False,False,False,False,False
-441.29388427734375,44.44143295288086,-122.77355194091797,75.45146179199219,-58.89199447631836,68.12910461425781,-46.316532135009766,38.42729187011719,-23.742189407348633,35.030059814453125,-15.793098449707031,1.7642868757247925,-2.5886459350585938,True,False,False,False,False,False,False
-261.76727294921875,64.99571228027344,-91.80916595458984,60.08542251586914,-48.77619171142578,56.10759735107422,-51.61820602416992,19.659101486206055,-41.19646072387695,33.90840148925781,-24.979103088378906,6.882336139678955,-17.74488639831543,True,False,False,False,False,False,False
